,Entity,Currency,AlphabeticCode,NumericCode,MinorUnit,WithdrawalDate
0,AFGHANISTAN,Afghani,AFN,971.0,2,
1,ÅLAND ISLANDS,Euro,EUR,978.0,2,
2,ALBANIA,Lek,ALL,8.0,2,
3,ALGERIA,Algerian Dinar,DZD,12.0,2,
4,AMERICAN SAMOA,US Dollar,USD,840.0,2,
5,ANDORRA,Euro,EUR,978.0,2,
6,ANGOLA,Kwanza,AOA,973.0,2,
7,ANGUILLA,East Caribbean Dollar,XCD,951.0,2,
8,ANTARCTICA,No universal currency,,,,
9,ANTIGUA AND BARBUDA,East Caribbean Dollar,XCD,951.0,2,
10,ARGENTINA,Argentine Peso,ARS,32.0,2,
11,ARMENIA,Armenian Dram,AMD,51.0,2,
12,ARUBA,Aruban Florin,AWG,533.0,2,
13,AUSTRALIA,Australian Dollar,AUD,36.0,2,
14,AUSTRIA,Euro,EUR,978.0,2,
15,AZERBAIJAN,Azerbaijanian Manat,AZN,944.0,2,
16,BAHAMAS (THE),Bahamian Dollar,BSD,44.0,2,
17,BAHRAIN,Bahraini Dinar,BHD,48.0,3,
18,BANGLADESH,Taka,BDT,50.0,2,
19,BARBADOS,Barbados Dollar,BBD,52.0,2,
20,BELARUS,Belarusian Ruble,BYN,933.0,2,
21,BELGIUM,Euro,EUR,978.0,2,
22,BELIZE,Belize Dollar,BZD,84.0,2,
23,BENIN,CFA Franc BCEAO,XOF,952.0,0,
24,BERMUDA,Bermudian Dollar,BMD,60.0,2,
25,BHUTAN,Indian Rupee,INR,356.0,2,
26,BHUTAN,Ngultrum,BTN,64.0,2,
27,BOLIVIA (PLURINATIONAL STATE OF),Boliviano,BOB,68.0,2,
28,BOLIVIA (PLURINATIONAL STATE OF),Mvdol,BOV,984.0,2,
29,"BONAIRE, SINT EUSTATIUS AND SABA",US Dollar,USD,840.0,2,
30,BOSNIA AND HERZEGOVINA,Convertible Mark,BAM,977.0,2,
31,BOTSWANA,Pula,BWP,72.0,2,
32,BOUVET ISLAND,Norwegian Krone,NOK,578.0,2,
33,BRAZIL,Brazilian Real,BRL,986.0,2,
34,BRITISH INDIAN OCEAN TERRITORY (THE),US Dollar,USD,840.0,2,
35,BRUNEI DARUSSALAM,Brunei Dollar,BND,96.0,2,
36,BULGARIA,Bulgarian Lev,BGN,975.0,2,
37,BURKINA FASO,CFA Franc BCEAO,XOF,952.0,0,
38,BURUNDI,Burundi Franc,BIF,108.0,0,
39,CABO VERDE,Cabo Verde Escudo,CVE,132.0,2,
40,CAMBODIA,Riel,KHR,116.0,2,
41,CAMEROON,CFA Franc BEAC,XAF,950.0,0,
42,CANADA,Canadian Dollar,CAD,124.0,2,
43,CAYMAN ISLANDS (THE),Cayman Islands Dollar,KYD,136.0,2,
44,CENTRAL AFRICAN REPUBLIC (THE),CFA Franc BEAC,XAF,950.0,0,
45,CHAD,CFA Franc BEAC,XAF,950.0,0,
46,CHILE,Chilean Peso,CLP,152.0,0,
47,CHILE,Unidad de Fomento,CLF,990.0,4,
48,CHINA,Yuan Renminbi,CNY,156.0,2,
49,CHRISTMAS ISLAND,Australian Dollar,AUD,36.0,2,
50,COCOS (KEELING) ISLANDS (THE),Australian Dollar,AUD,36.0,2,
51,COLOMBIA,Colombian Peso,COP,170.0,2,
52,COLOMBIA,Unidad de Valor Real,COU,970.0,2,
53,COMOROS (THE),Comoro Franc,KMF,174.0,0,
54,CONGO (THE DEMOCRATIC REPUBLIC OF THE),Congolese Franc,CDF,976.0,2,
55,CONGO (THE),CFA Franc BEAC,XAF,950.0,0,
56,COOK ISLANDS (THE),New Zealand Dollar,NZD,554.0,2,
57,COSTA RICA,Costa Rican Colon,CRC,188.0,2,
58,CÔTE D'IVOIRE,CFA Franc BCEAO,XOF,952.0,0,
59,CROATIA,Kuna,HRK,191.0,2,
60,CUBA,Cuban Peso,CUP,192.0,2,
61,CUBA,Peso Convertible,CUC,931.0,2,
62,CURAÇAO,Netherlands Antillean Guilder,ANG,532.0,2,
63,CYPRUS,Euro,EUR,978.0,2,
64,CZECH REPUBLIC (THE),Czech Koruna,CZK,203.0,2,
65,DENMARK,Danish Krone,DKK,208.0,2,
66,DJIBOUTI,Djibouti Franc,DJF,262.0,0,
67,DOMINICA,East Caribbean Dollar,XCD,951.0,2,
68,DOMINICAN REPUBLIC (THE),Dominican Peso,DOP,214.0,2,
69,ECUADOR,US Dollar,USD,840.0,2,
70,EGYPT,Egyptian Pound,EGP,818.0,2,
71,EL SALVADOR,El Salvador Colon,SVC,222.0,2,
72,EL SALVADOR,US Dollar,USD,840.0,2,
73,EQUATORIAL GUINEA,CFA Franc BEAC,XAF,950.0,0,
74,ERITREA,Nakfa,ERN,232.0,2,
75,ESTONIA,Euro,EUR,978.0,2,
76,ETHIOPIA,Ethiopian Birr,ETB,230.0,2,
77,EUROPEAN UNION,Euro,EUR,978.0,2,
78,FALKLAND ISLANDS (THE) [MALVINAS],Falkland Islands Pound,FKP,238.0,2,
79,FAROE ISLANDS (THE),Danish Krone,DKK,208.0,2,
80,FIJI,Fiji Dollar,FJD,242.0,2,
81,FINLAND,Euro,EUR,978.0,2,
82,FRANCE,Euro,EUR,978.0,2,
83,FRENCH GUIANA,Euro,EUR,978.0,2,
84,FRENCH POLYNESIA,CFP Franc,XPF,953.0,0,
85,FRENCH SOUTHERN TERRITORIES (THE),Euro,EUR,978.0,2,
86,GABON,CFA Franc BEAC,XAF,950.0,0,
87,GAMBIA (THE),Dalasi,GMD,270.0,2,
88,GEORGIA,Lari,GEL,981.0,2,
89,GERMANY,Euro,EUR,978.0,2,
90,GHANA,Ghana Cedi,GHS,936.0,2,
91,GIBRALTAR,Gibraltar Pound,GIP,292.0,2,
92,GREECE,Euro,EUR,978.0,2,
93,GREENLAND,Danish Krone,DKK,208.0,2,
94,GRENADA,East Caribbean Dollar,XCD,951.0,2,
95,GUADELOUPE,Euro,EUR,978.0,2,
96,GUAM,US Dollar,USD,840.0,2,
97,GUATEMALA,Quetzal,GTQ,320.0,2,
98,GUERNSEY,Pound Sterling,GBP,826.0,2,
99,GUINEA,Guinea Franc,GNF,324.0,0,
100,GUINEA-BISSAU,CFA Franc BCEAO,XOF,952.0,0,
101,GUYANA,Guyana Dollar,GYD,328.0,2,
102,HAITI,Gourde,HTG,332.0,2,
103,HAITI,US Dollar,USD,840.0,2,
104,HEARD ISLAND AND McDONALD ISLANDS,Australian Dollar,AUD,36.0,2,
105,HOLY SEE (THE),Euro,EUR,978.0,2,
106,HONDURAS,Lempira,HNL,340.0,2,
107,HONG KONG,Hong Kong Dollar,HKD,344.0,2,
108,HUNGARY,Forint,HUF,348.0,2,
109,ICELAND,Iceland Krona,ISK,352.0,0,
110,INDIA,Indian Rupee,INR,356.0,2,
111,INDONESIA,Rupiah,IDR,360.0,2,
112,INTERNATIONAL MONETARY FUND (IMF),SDR (Special Drawing Right),XDR,960.0,-,
113,IRAN (ISLAMIC REPUBLIC OF),Iranian Rial,IRR,364.0,2,
114,IRAQ,Iraqi Dinar,IQD,368.0,3,
115,IRELAND,Euro,EUR,978.0,2,
116,ISLE OF MAN,Pound Sterling,GBP,826.0,2,
117,ISRAEL,New Israeli Sheqel,ILS,376.0,2,
118,ITALY,Euro,EUR,978.0,2,
119,JAMAICA,Jamaican Dollar,JMD,388.0,2,
120,JAPAN,Yen,JPY,392.0,0,
121,JERSEY,Pound Sterling,GBP,826.0,2,
122,JORDAN,Jordanian Dinar,JOD,400.0,3,
123,KAZAKHSTAN,Tenge,KZT,398.0,2,
124,KENYA,Kenyan Shilling,KES,404.0,2,
125,KIRIBATI,Australian Dollar,AUD,36.0,2,
126,KOREA (THE DEMOCRATIC PEOPLE’S REPUBLIC OF),North Korean Won,KPW,408.0,2,
127,KOREA (THE REPUBLIC OF),Won,KRW,410.0,0,
128,KUWAIT,Kuwaiti Dinar,KWD,414.0,3,
129,KYRGYZSTAN,Som,KGS,417.0,2,
130,LAO PEOPLE’S DEMOCRATIC REPUBLIC (THE),Kip,LAK,418.0,2,
131,LATVIA,Euro,EUR,978.0,2,
132,LEBANON,Lebanese Pound,LBP,422.0,2,
133,LESOTHO,Loti,LSL,426.0,2,
134,LESOTHO,Rand,ZAR,710.0,2,
135,LIBERIA,Liberian Dollar,LRD,430.0,2,
136,LIBYA,Libyan Dinar,LYD,434.0,3,
137,LIECHTENSTEIN,Swiss Franc,CHF,756.0,2,
138,LITHUANIA,Euro,EUR,978.0,2,
139,LUXEMBOURG,Euro,EUR,978.0,2,
140,MACAO,Pataca,MOP,446.0,2,
141,MACEDONIA (THE FORMER YUGOSLAV REPUBLIC OF),Denar,MKD,807.0,2,
142,MADAGASCAR,Malagasy Ariary,MGA,969.0,2,
143,MALAWI,Malawi Kwacha,MWK,454.0,2,
144,MALAYSIA,Malaysian Ringgit,MYR,458.0,2,
145,MALDIVES,Rufiyaa,MVR,462.0,2,
146,MALI,CFA Franc BCEAO,XOF,952.0,0,
147,MALTA,Euro,EUR,978.0,2,
148,MARSHALL ISLANDS (THE),US Dollar,USD,840.0,2,
149,MARTINIQUE,Euro,EUR,978.0,2,
150,MAURITANIA,Ouguiya,MRO,478.0,2,
151,MAURITIUS,Mauritius Rupee,MUR,480.0,2,
152,MAYOTTE,Euro,EUR,978.0,2,
153,MEMBER COUNTRIES OF THE AFRICAN DEVELOPMENT BANK GROUP,ADB Unit of Account,XUA,965.0,-,
154,MEXICO,Mexican Peso,MXN,484.0,2,
155,MEXICO,Mexican Unidad de Inversion (UDI),MXV,979.0,2,
156,MICRONESIA (FEDERATED STATES OF),US Dollar,USD,840.0,2,
157,MOLDOVA (THE REPUBLIC OF),Moldovan Leu,MDL,498.0,2,
158,MONACO,Euro,EUR,978.0,2,
159,MONGOLIA,Tugrik,MNT,496.0,2,
160,MONTENEGRO,Euro,EUR,978.0,2,
161,MONTSERRAT,East Caribbean Dollar,XCD,951.0,2,
162,MOROCCO,Moroccan Dirham,MAD,504.0,2,
163,MOZAMBIQUE,Mozambique Metical,MZN,943.0,2,
164,MYANMAR,Kyat,MMK,104.0,2,
165,NAMIBIA,Namibia Dollar,NAD,516.0,2,
166,NAMIBIA,Rand,ZAR,710.0,2,
167,NAURU,Australian Dollar,AUD,36.0,2,
168,NEPAL,Nepalese Rupee,NPR,524.0,2,
169,NETHERLANDS (THE),Euro,EUR,978.0,2,
170,NEW CALEDONIA,CFP Franc,XPF,953.0,0,
171,NEW ZEALAND,New Zealand Dollar,NZD,554.0,2,
172,NICARAGUA,Cordoba Oro,NIO,558.0,2,
173,NIGER (THE),CFA Franc BCEAO,XOF,952.0,0,
174,NIGERIA,Naira,NGN,566.0,2,
175,NIUE,New Zealand Dollar,NZD,554.0,2,
176,NORFOLK ISLAND,Australian Dollar,AUD,36.0,2,
177,NORTHERN MARIANA ISLANDS (THE),US Dollar,USD,840.0,2,
178,NORWAY,Norwegian Krone,NOK,578.0,2,
179,OMAN,Rial Omani,OMR,512.0,3,
180,PAKISTAN,Pakistan Rupee,PKR,586.0,2,
181,PALAU,US Dollar,USD,840.0,2,
182,"PALESTINE, STATE OF",No universal currency,,,,
183,PANAMA,Balboa,PAB,590.0,2,
184,PANAMA,US Dollar,USD,840.0,2,
185,PAPUA NEW GUINEA,Kina,PGK,598.0,2,
186,PARAGUAY,Guarani,PYG,600.0,0,
187,PERU,Sol,PEN,604.0,2,
188,PHILIPPINES (THE),Philippine Peso,PHP,608.0,2,
189,PITCAIRN,New Zealand Dollar,NZD,554.0,2,
190,POLAND,Zloty,PLN,985.0,2,
191,PORTUGAL,Euro,EUR,978.0,2,
192,PUERTO RICO,US Dollar,USD,840.0,2,
193,QATAR,Qatari Rial,QAR,634.0,2,
194,RÉUNION,Euro,EUR,978.0,2,
195,ROMANIA,Romanian Leu,RON,946.0,2,
196,RUSSIAN FEDERATION (THE),Russian Ruble,RUB,643.0,2,
197,RWANDA,Rwanda Franc,RWF,646.0,0,
198,SAINT BARTHÉLEMY,Euro,EUR,978.0,2,
199,"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",Saint Helena Pound,SHP,654.0,2,
200,SAINT KITTS AND NEVIS,East Caribbean Dollar,XCD,951.0,2,
201,SAINT LUCIA,East Caribbean Dollar,XCD,951.0,2,
202,SAINT MARTIN (FRENCH PART),Euro,EUR,978.0,2,
203,SAINT PIERRE AND MIQUELON,Euro,EUR,978.0,2,
204,SAINT VINCENT AND THE GRENADINES,East Caribbean Dollar,XCD,951.0,2,
205,SAMOA,Tala,WST,882.0,2,
206,SAN MARINO,Euro,EUR,978.0,2,
207,SAO TOME AND PRINCIPE,Dobra,STD,678.0,2,
208,SAUDI ARABIA,Saudi Riyal,SAR,682.0,2,
209,SENEGAL,CFA Franc BCEAO,XOF,952.0,0,
210,SERBIA,Serbian Dinar,RSD,941.0,2,
211,SEYCHELLES,Seychelles Rupee,SCR,690.0,2,
212,SIERRA LEONE,Leone,SLL,694.0,2,
213,SINGAPORE,Singapore Dollar,SGD,702.0,2,
214,SINT MAARTEN (DUTCH PART),Netherlands Antillean Guilder,ANG,532.0,2,
215,"SISTEMA UNITARIO DE COMPENSACION REGIONAL DE PAGOS ""SUCRE""",Sucre,XSU,994.0,-,
216,SLOVAKIA,Euro,EUR,978.0,2,
217,SLOVENIA,Euro,EUR,978.0,2,
218,SOLOMON ISLANDS,Solomon Islands Dollar,SBD,90.0,2,
219,SOMALIA,Somali Shilling,SOS,706.0,2,
220,SOUTH AFRICA,Rand,ZAR,710.0,2,
221,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,No universal currency,,,,
222,SOUTH SUDAN,South Sudanese Pound,SSP,728.0,2,
223,SPAIN,Euro,EUR,978.0,2,
224,SRI LANKA,Sri Lanka Rupee,LKR,144.0,2,
225,SUDAN (THE),Sudanese Pound,SDG,938.0,2,
226,SURINAME,Surinam Dollar,SRD,968.0,2,
227,SVALBARD AND JAN MAYEN,Norwegian Krone,NOK,578.0,2,
228,SWAZILAND,Lilangeni,SZL,748.0,2,
229,SWEDEN,Swedish Krona,SEK,752.0,2,
230,SWITZERLAND,Swiss Franc,CHF,756.0,2,
231,SWITZERLAND,WIR Euro,CHE,947.0,2,
232,SWITZERLAND,WIR Franc,CHW,948.0,2,
233,SYRIAN ARAB REPUBLIC,Syrian Pound,SYP,760.0,2,
234,TAIWAN (PROVINCE OF CHINA),New Taiwan Dollar,TWD,901.0,2,
235,TAJIKISTAN,Somoni,TJS,972.0,2,
236,"TANZANIA, UNITED REPUBLIC OF",Tanzanian Shilling,TZS,834.0,2,
237,THAILAND,Baht,THB,764.0,2,
238,TIMOR-LESTE,US Dollar,USD,840.0,2,
239,TOGO,CFA Franc BCEAO,XOF,952.0,0,
240,TOKELAU,New Zealand Dollar,NZD,554.0,2,
241,TONGA,Pa’anga,TOP,776.0,2,
242,TRINIDAD AND TOBAGO,Trinidad and Tobago Dollar,TTD,780.0,2,
243,TUNISIA,Tunisian Dinar,TND,788.0,3,
244,TURKEY,Turkish Lira,TRY,949.0,2,
245,TURKMENISTAN,Turkmenistan New Manat,TMT,934.0,2,
246,TURKS AND CAICOS ISLANDS (THE),US Dollar,USD,840.0,2,
247,TUVALU,Australian Dollar,AUD,36.0,2,
248,UGANDA,Uganda Shilling,UGX,800.0,0,
249,UKRAINE,Hryvnia,UAH,980.0,2,
250,UNITED ARAB EMIRATES (THE),UAE Dirham,AED,784.0,2,
251,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),Pound Sterling,GBP,826.0,2,
252,UNITED STATES MINOR OUTLYING ISLANDS (THE),US Dollar,USD,840.0,2,
253,UNITED STATES OF AMERICA (THE),US Dollar,USD,840.0,2,
254,UNITED STATES OF AMERICA (THE),US Dollar (Next day),USN,997.0,2,
255,URUGUAY,Peso Uruguayo,UYU,858.0,2,
256,URUGUAY,Uruguay Peso en Unidades Indexadas (URUIURUI),UYI,940.0,0,
257,UZBEKISTAN,Uzbekistan Sum,UZS,860.0,2,
258,VANUATU,Vatu,VUV,548.0,0,
259,VENEZUELA (BOLIVARIAN REPUBLIC OF),Bolívar,VEF,937.0,2,
260,VIET NAM,Dong,VND,704.0,0,
261,VIRGIN ISLANDS (BRITISH),US Dollar,USD,840.0,2,
262,VIRGIN ISLANDS (U.S.),US Dollar,USD,840.0,2,
263,WALLIS AND FUTUNA,CFP Franc,XPF,953.0,0,
264,WESTERN SAHARA,Moroccan Dirham,MAD,504.0,2,
265,YEMEN,Yemeni Rial,YER,886.0,2,
266,ZAMBIA,Zambian Kwacha,ZMW,967.0,2,
267,ZIMBABWE,Zimbabwe Dollar,ZWL,932.0,2,
268,ZZ01_Bond Markets Unit European_EURCO,Bond Markets Unit European Composite Unit (EURCO),XBA,955.0,-,
269,ZZ02_Bond Markets Unit European_EMU-6,Bond Markets Unit European Monetary Unit (E.M.U.-6),XBB,956.0,-,
270,ZZ03_Bond Markets Unit European_EUA-9,Bond Markets Unit European Unit of Account 9 (E.U.A.-9),XBC,957.0,-,
271,ZZ04_Bond Markets Unit European_EUA-17,Bond Markets Unit European Unit of Account 17 (E.U.A.-17),XBD,958.0,-,
272,ZZ06_Testing_Code,Codes specifically reserved for testing purposes,XTS,963.0,-,
273,ZZ07_No_Currency,The codes assigned for transactions where no currency is involved,XXX,999.0,-,
274,ZZ08_Gold,Gold,XAU,959.0,-,
